sentence_id,text,aspect_term,polarity,char_from,char_to,category,domain,label
407,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,36,44,,laptop,1
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,30,42,,laptop,0
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,negative,72,90,,laptop,1
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive,25,28,,laptop,0
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,12,15,,laptop,0
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,28,35,,laptop,0
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,60,76,,laptop,0
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,99,109,,laptop,0
1057,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,29,43,,laptop,0
1718,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral,39,55,,laptop,2
1718,I eventually did the migration from my iMac backup disc which uses USB.,USB,neutral,67,70,,laptop,2
2923,"The battery life seems to be very good, and have had no issues with it.",battery life,positive,4,16,,laptop,0
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,neutral,0,12,,laptop,2
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral,64,97,,laptop,2
1110,Going to bring it to service today.,service,neutral,21,28,,laptop,2
1488,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,29,53,,laptop,0
488,"But we had paid for bluetooth, and there was none.",bluetooth,negative,20,29,,laptop,1
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral,22,48,,laptop,2
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative,93,98,,laptop,1
1573,"It is always reliable, never bugged and responds well.",responds,positive,40,48,,laptop,0
1099,"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,37,45,,laptop,1
1347,they had to replace the motherboard in April,motherboard,negative,24,35,,laptop,1
1408,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,110,113,,laptop,0
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,31,56,,laptop,1
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative,170,176,,laptop,1
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive,217,219,,laptop,0
2864,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive,7,16,,laptop,0
2864,I love WIndows 7 which is a vast improvment over Vista.,Vista,negative,49,54,,laptop,1
30,"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,0,8,,laptop,0
474,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,0,26,,laptop,1
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,9,23,,laptop,1
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,64,67,,laptop,2
2095,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,97,109,,laptop,0
1722,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,50,65,,laptop,0
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,29,35,,laptop,0
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,neutral,58,78,,laptop,2
2296,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,58,71,,laptop,1
493,It weighed like seven pounds or something like that.,weighed,neutral,3,10,,laptop,2
493,It weighed like seven pounds or something like that.,seven pounds,neutral,16,28,,laptop,2
902,"2 months later, the battery went.",battery,negative,20,27,,laptop,1
2433,You may need to special order a bag.,bag,neutral,32,35,,laptop,2
1675,It's color is even cool.,color,positive,5,10,,laptop,0
609,keys are all in weird places and is way too large for the way it is designed.,keys,negative,0,4,,laptop,1
609,keys are all in weird places and is way too large for the way it is designed.,designed,negative,68,76,,laptop,1
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,95,100,,laptop,0
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,102,107,,laptop,0
2335,The keyboard feels good and I type just fine on it.,keyboard,positive,4,12,,laptop,0
2416,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,76,84,,laptop,2
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,26,31,,laptop,0
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive,33,40,,laptop,0
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive,128,140,,laptop,0
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,58,63,,laptop,0
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,65,85,,laptop,0
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,91,100,,laptop,0
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,71,79,,laptop,0
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,84,88,,laptop,0
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive,118,146,,laptop,0
2331,) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,19,28,,laptop,2
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,70,73,,laptop,0
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,75,83,,laptop,0
823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,36,39,,laptop,1
823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,92,96,,laptop,1
3006,lots of preloaded software.,preloaded software,positive,8,26,,laptop,0
2941,"I wish it had a webcam though, then it would be perfect!",webcam,negative,16,22,,laptop,1
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,positive,51,59,,laptop,0
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,neutral,92,98,,laptop,2
1686,Another thing I might add is the battery life is excellent.,battery life,positive,33,45,,laptop,0
2091,"One drawback, I wish the keys were backlit.",keys,negative,25,29,,laptop,1
1259,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,200,208,,laptop,0
2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,11,17,,laptop,1
2938,I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,42,47,,laptop,1
2574,"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,45,53,,laptop,0
526,It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,47,57,,laptop,1
3020,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,46,70,,laptop,0
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,61,67,,laptop,1
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,83,89,,laptop,1
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,positive,110,125,,laptop,0
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,negative,4,13,,laptop,1
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,negative,44,69,,laptop,1
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative,94,102,,laptop,1
1553,"Great battery, speed, display.",battery,positive,6,13,,laptop,0
1553,"Great battery, speed, display.",speed,positive,15,20,,laptop,0
1553,"Great battery, speed, display.",display,positive,22,29,,laptop,0
2874,"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,positive,4,12,,laptop,0
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive,29,41,,laptop,0
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,performance,positive,50,61,,laptop,0
2385,I've been impressed with the battery life and the performance for such a small amount of memory.,memory,negative,89,95,,laptop,1
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,negative,35,45,,laptop,1
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,negative,47,57,,laptop,1
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,negative,59,73,,laptop,1
3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",graphics card,negative,75,88,,laptop,1
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative,21,36,,laptop,1
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,negative,41,53,,laptop,1
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,negative,269,272,,laptop,1
1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,negative,277,280,,laptop,1
104,Is this partially due to the fact that it is running Windows Vista?,Windows Vista,neutral,53,66,,laptop,2
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,negative,6,11,,laptop,1
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,negative,22,31,,laptop,1
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,41,53,,laptop,1
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,negative,72,80,,laptop,1
1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,93,105,,laptop,1
2124,Mostly I love the drag and drop feature.,drag and drop feature,positive,18,39,,laptop,0
260,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative,26,32,,laptop,1
1172,"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,positive,46,55,,laptop,0
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,positive,37,54,,laptop,0
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iWork,positive,84,89,,laptop,0
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",GarageBand,positive,91,101,,laptop,0
2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",iMovie,positive,107,113,,laptop,0
386,The screen is very large and crystal clear with amazing colors and resolution.,screen,positive,4,10,,laptop,0
386,The screen is very large and crystal clear with amazing colors and resolution.,colors,positive,56,62,,laptop,0
386,The screen is very large and crystal clear with amazing colors and resolution.,resolution,positive,67,77,,laptop,0
1357,"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",monitor,negative,62,69,,laptop,1
2605,"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",iTunes,positive,13,19,,laptop,0
1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",Size,negative,0,4,,laptop,1
1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",external monitor,neutral,76,92,,laptop,2
2578,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,base installation,negative,23,40,,laptop,1
2578,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,negative,74,82,,laptop,1
942,  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,negative,82,87,,laptop,1
311,"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,positive,4,11,,laptop,0
13,The AMD Turin processor seems to always perform so much better than Intel.,AMD Turin processor,positive,4,23,,laptop,0
13,The AMD Turin processor seems to always perform so much better than Intel.,Intel,negative,68,73,,laptop,1
2708,The start menu is not the easiest thing to navigate due to the stacking.,start menu,negative,4,14,,laptop,1
2708,The start menu is not the easiest thing to navigate due to the stacking.,navigate,negative,43,51,,laptop,1
1566,Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,negative,54,77,,laptop,1
540,The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,negative,4,16,,laptop,1
878,"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,negative,4,14,,laptop,1
2388,Really like the textured surface which shows no fingerprints.,surface,positive,25,32,,laptop,0
3074,The screen is bright and the keyboard is nice;,screen,positive,4,10,,laptop,0
3074,The screen is bright and the keyboard is nice;,keyboard,positive,29,37,,laptop,0
2534,But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife,positive,31,36,,laptop,0
2534,But the machine is awesome and iLife is great and I love Snow Leopard X.,Snow Leopard X,positive,57,71,,laptop,0
2185,"High price tag, however.",price tag,negative,5,14,,laptop,1
2632,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS,positive,23,29,,laptop,0
2675,"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",sound output quality,negative,52,72,,laptop,1
392,I custom ordered the machine from HP and could NOT understand the techie due to his accent.,techie,negative,66,72,,laptop,1
1551,It is easy to use and lightweight.,use,positive,14,17,,laptop,0
2698,I went to Toshiba online help and found some suggestions to fix it.,Toshiba online help,positive,10,29,,laptop,0
340,They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,service life,positive,24,36,,laptop,0
2918,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,ports,neutral,68,73,,laptop,2
2918,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor,neutral,103,112,,laptop,2
2939,This laptop is a great price and has a sleek look.,price,positive,23,28,,laptop,0
2939,This laptop is a great price and has a sleek look.,look,positive,45,49,,laptop,0
1958,I especially like the keyboard which has chiclet type keys.,keyboard,positive,22,30,,laptop,0
1958,I especially like the keyboard which has chiclet type keys.,keys,positive,54,58,,laptop,0
1355,Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality,negative,39,46,,laptop,1
3021,"For the not so good, I got the stock screen - which is VERY glossy.",stock screen,negative,31,43,,laptop,1
2415,The gray color was a good choice.,gray color,positive,4,14,,laptop,0
2696,I would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,negative,21,35,,laptop,1
4,I bought a protector for my key pad and it works great :),protector,neutral,11,20,,laptop,2
4,I bought a protector for my key pad and it works great :),key pad,positive,28,35,,laptop,0
2260,The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,positive,4,46,,laptop,0
1376,It seems they could have updated XP and done without creating Vista.,XP,positive,33,35,,laptop,0
1376,It seems they could have updated XP and done without creating Vista.,Vista,negative,62,67,,laptop,1
936,"  It is easy to use, fast and has great graphics for the money.",graphics,positive,40,48,,laptop,0
936,"  It is easy to use, fast and has great graphics for the money.",use,positive,16,19,,laptop,0
1804,"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,positive,97,104,,laptop,0
1426,"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",Geek Squad,positive,50,60,,laptop,0
138,only good thing is the graphics quality.,graphics quality,positive,23,39,,laptop,0
1192,"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",Appleworks,negative,101,111,,laptop,1
1192,"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",browser,negative,133,140,,laptop,1
1691,The paint wears off easily due to the keyboard being farther back than usual.,paint,negative,4,9,,laptop,1
1691,The paint wears off easily due to the keyboard being farther back than usual.,keyboard,negative,38,46,,laptop,1
537,I had purchased it from a major electronics store and took it to their service department to find out what the problem was.,service department,neutral,71,89,,laptop,2
3043,I always use a backup hard disk to store important files at all times.,hard disk,neutral,22,31,,laptop,2
505,"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",CD drive,negative,169,177,,laptop,1
505,"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",running,negative,143,150,,laptop,1
569,But the screen size is not that bad for email and web browsing.,screen size,positive,8,19,,laptop,0
569,But the screen size is not that bad for email and web browsing.,web browsing,neutral,50,62,,laptop,2
3081,Once I removed all the software the laptop loads in 15-20 seconds.,software,negative,23,31,,laptop,1
3081,Once I removed all the software the laptop loads in 15-20 seconds.,loads,neutral,43,48,,laptop,2
